#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein name
chr	NZ_CP014692.1	998394	999245	+	-	-	A0U92_RS04570	WP_077812201.1	283	S-formylglutathione hydrolase
chr	NZ_CP014692.1	999249	999995	-	-	-	A0U92_RS04575	WP_077812202.1	248	hypothetical protein
chr	NZ_CP014692.1	999992	1001515	-	-	-	A0U92_RS04580	WP_077814247.1	507	efflux transporter outer membrane subunit
chr	NZ_CP014692.1	1001520	1002596	-	-	-	A0U92_RS04585	WP_077812203.1	358	HlyD family secretion protein
chr	NZ_CP014692.1	1002614	1004251	-	-	-	A0U92_RS04590	WP_077814248.1	545	MFS transporter
chr	NZ_CP014692.1	1004371	1005324	+	-	-	A0U92_RS04595	WP_077812204.1	317	LysR family transcriptional regulator
chr	NZ_CP014692.1	1005473	1006957	+	-	-	A0U92_RS04600	WP_077812205.1	494	Si-specific NAD(P)(+) transhydrogenase
chr	NZ_CP014692.1	1007281	1008369	-	-	-	A0U92_RS04605	WP_077812206.1	362	GlxA family transcriptional regulator
chr	NZ_CP014692.1	1008572	1008982	-	-	-	A0U92_RS04610	WP_077812207.1	136	isopropylmalate/homocitrate/citramalate synthase
chr	NZ_CP014692.1	1009020	1010309	-	-	glyA	A0U92_RS04615	WP_077812208.1	429	serine hydroxymethyltransferase
chr	NZ_CP014692.1	1010460	1011341	-	-	-	A0U92_RS04620	WP_077812209.1	293	carbon-nitrogen hydrolase
chr	NZ_CP014692.1	1011341	1011982	-	-	-	A0U92_RS04625	WP_077812210.1	213	GNAT family N-acetyltransferase
chr	NZ_CP014692.1	1012016	1013674	-	-	-	A0U92_RS04630	WP_077812211.1	552	choline dehydrogenase
chr	NZ_CP014692.1	1013686	1015782	-	-	-	A0U92_RS04635	WP_077812212.1	698	betaine-aldehyde dehydrogenase
chr	NZ_CP014692.1	1016284	1017129	+	-	-	A0U92_RS04640	WP_077812213.1	281	choline ABC transporter permease subunit
chr	NZ_CP014692.1	1017143	1018381	+	-	-	A0U92_RS04645	WP_077812214.1	412	choline ABC transporter ATP-binding protein
chr	NZ_CP014692.1	1018547	1019482	+	-	-	A0U92_RS04650	WP_077812215.1	311	choline ABC transporter substrate-binding protein
chr	NZ_CP014692.1	1019564	1020070	-	-	-	A0U92_RS04655	WP_077814249.1	168	transcriptional repressor
chr	NZ_CP014692.1	1020128	1020895	-	-	-	A0U92_RS04660	WP_077812216.1	255	DUF4130 domain-containing protein
chr	NZ_CP014692.1	1020892	1022124	-	-	-	A0U92_RS04665	WP_077812217.1	410	putative DNA modification/repair radical SAM protein
chr	NZ_CP014692.1	1024460	1025920	+	-	-	A0U92_RS04685	WP_077812218.1	486	amino acid permease
chr	NZ_CP014692.1	1026184	1027080	+	-	-	A0U92_RS04690	WP_077812219.1	298	fructose bisphosphate aldolase
chr	NZ_CP014692.1	1027249	1028931	+	-	-	A0U92_RS04695	WP_077812220.1	560	alpha-keto acid decarboxylase family protein
chr	NZ_CP014692.1	1029239	1029982	+	-	-	A0U92_RS04700	WP_077812221.1	247	(Fe-S)-binding protein
chr	NZ_CP014692.1	1029979	1031517	+	-	-	A0U92_RS04705	WP_077812222.1	512	lactate utilization protein
chr	NZ_CP014692.1	1031517	1032134	+	-	-	A0U92_RS04710	WP_077812223.1	205	hypothetical protein
chr	NZ_CP014692.1	1032361	1032903	-	-	-	A0U92_RS04715	WP_077812224.1	180	YceI family protein
chr	NZ_CP014692.1	1032964	1033713	-	-	-	A0U92_RS04720	WP_077812225.1	249	hypothetical protein
chr	NZ_CP014692.1	1033839	1037258	+	-	-	A0U92_RS04725	WP_077812226.1	1139	DNA polymerase III subunit alpha
chr	NZ_CP014692.1	1037339	1037620	+	-	-	A0U92_RS04730	WP_077812227.1	93	hypothetical protein
chr	NZ_CP014692.1	1037879	1038970	+	-	-	A0U92_RS04735	WP_077814250.1	363	aromatic ring-hydroxylating dioxygenase subunit alpha
chr	NZ_CP014692.1	1039255	1040055	+	-	-	A0U92_RS04740	WP_077812228.1	266	30S ribosomal protein S2
chr	NZ_CP014692.1	1040161	1041066	+	-	-	A0U92_RS04745	WP_077812229.1	301	elongation factor Ts
chr	NZ_CP014692.1	1041084	1041854	+	-	-	A0U92_RS04750	WP_077812230.1	256	DNA repair protein RecO
chr	NZ_CP014692.1	1041972	1042739	-	-	-	A0U92_RS04755	WP_077812231.1	255	2-keto-4-pentenoate hydratase
chr	NZ_CP014692.1	1042944	1043396	-	-	-	A0U92_RS04760	WP_077812232.1	150	hypothetical protein
chr	NZ_CP014692.1	1043442	1045661	+	-	-	A0U92_RS04765	WP_077812233.1	739	DNA topoisomerase IV subunit A
chr	NZ_CP014692.1	1045746	1047521	+	-	-	A0U92_RS04770	WP_077812234.1	591	hypothetical protein
chr	NZ_CP014692.1	1047518	1048552	+	-	-	A0U92_RS04775	WP_077812235.1	344	hypothetical protein
chr	NZ_CP014692.1	1048549	1049163	+	-	-	A0U92_RS04780	WP_077812236.1	204	hypothetical protein
chr	NZ_CP014692.1	1049163	1050347	+	-	-	A0U92_RS04785	WP_077812237.1	394	hypothetical protein
chr	NZ_CP014692.1	1050344	1051975	+	-	-	A0U92_RS04790	WP_077812238.1	543	NADH:ubiquinone oxidoreductase
chr	NZ_CP014692.1	1052031	1052519	+	-	-	A0U92_RS04795	WP_077814251.1	162	NADH-quinone oxidoreductase subunit B
chr	NZ_CP014692.1	1052579	1053472	-	-	-	A0U92_RS04800	WP_077812239.1	297	phosphatidylcholine/phosphatidylserine synthase
chr	NZ_CP014692.1	1053521	1054216	-	-	-	A0U92_RS04805	WP_077812240.1	231	phosphatidylserine decarboxylase
chr	NZ_CP014692.1	1054389	1055093	+	-	-	A0U92_RS04810	WP_077814252.1	234	1-acyl-sn-glycerol-3-phosphate acyltransferase
chr	NZ_CP014692.1	1055579	1056595	+	-	-	A0U92_RS04815	WP_077812241.1	338	DUF2125 domain-containing protein
chr	NZ_CP014692.1	1056646	1057371	-	-	-	A0U92_RS04820	WP_077812242.1	241	hydroxyacylglutathione hydrolase
chr	NZ_CP014692.1	1058134	1058646	+	-	-	A0U92_RS04830	WP_077812243.1	170	hypothetical protein
chr	NZ_CP014692.1	1058674	1059294	-	-	-	A0U92_RS04835	WP_077812244.1	206	YdcF family protein
chr	NZ_CP014692.1	1059273	1060235	-	-	-	A0U92_RS04840	WP_077812245.1	320	FtsX-like permease family protein
chr	NZ_CP014692.1	1060228	1060902	-	-	-	A0U92_RS04845	WP_077814253.1	224	ATP-binding cassette domain-containing protein
chr	NZ_CP014692.1	1061127	1062899	+	-	-	A0U92_RS04850	WP_077812246.1	590	hypothetical protein
chr	NZ_CP014692.1	1063046	1063453	-	-	-	A0U92_RS04855	WP_077812247.1	135	hypothetical protein
chr	NZ_CP014692.1	1063610	1063873	-	-	-	A0U92_RS04860	WP_077812248.1	87	hypothetical protein
chr	NZ_CP014692.1	1063972	1065168	-	-	-	A0U92_RS04865	WP_077812249.1	398	NAD(P)/FAD-dependent oxidoreductase
chr	NZ_CP014692.1	1065262	1065753	-	-	-	A0U92_RS04870	WP_077812250.1	163	30S ribosomal protein S9
chr	NZ_CP014692.1	1065759	1066238	-	-	-	A0U92_RS04875	WP_077812251.1	159	50S ribosomal protein L13
chr	NZ_CP014692.1	1066512	1068047	+	-	-	A0U92_RS04880	WP_077814254.1	511	3-demethylubiquinone-9 3-methyltransferase
chr	NZ_CP014692.1	1068450	1069634	+	-	-	A0U92_RS04885	WP_077812252.1	394	AI-2E family transporter
chr	NZ_CP014692.1	1069764	1070603	-	-	-	A0U92_RS04890	WP_077812253.1	279	pantoate--beta-alanine ligase
chr	NZ_CP014692.1	1070605	1071450	-	-	-	A0U92_RS04895	WP_077812254.1	281	3-methyl-2-oxobutanoate hydroxymethyltransferase
chr	NZ_CP014692.1	1071526	1072134	+	-	-	A0U92_RS04900	WP_077812255.1	202	hypothetical protein
chr	NZ_CP014692.1	1072261	1073388	-	-	-	A0U92_RS04910	WP_077812256.1	375	anhydro-N-acetylmuramic acid kinase
chr	NZ_CP014692.1	1073523	1074335	-	-	-	A0U92_RS04915	WP_077812257.1	270	ATP-binding cassette domain-containing protein
chr	NZ_CP014692.1	1074332	1075117	-	-	-	A0U92_RS04920	WP_077812258.1	261	ABC transporter permease
chr	NZ_CP014692.1	1075402	1076715	+	-	-	A0U92_RS04925	WP_077812259.1	437	UDP-glucose/GDP-mannose dehydrogenase family protein
chr	NZ_CP014692.1	1077900	1078979	+	-	-	A0U92_RS04930	WP_077812260.1	359	glycosyltransferase family 1 protein
chr	NZ_CP014692.1	1079097	1079483	+	-	-	A0U92_RS04935	WP_077812261.1	128	hypothetical protein
chr	NZ_CP014692.1	1079546	1079968	+	-	-	A0U92_RS04940	WP_077814255.1	140	aminoacyl-tRNA hydrolase
chr	NZ_CP014692.1	1079999	1081501	-	-	-	A0U92_RS04945	WP_077812262.1	500	allantoin permease
chr	NZ_CP014692.1	1081628	1082569	+	-	-	A0U92_RS04950	WP_077814256.1	313	LysR family transcriptional regulator
chr	NZ_CP014692.1	1082570	1084615	-	-	-	A0U92_RS04955	WP_077812263.1	681	hypothetical protein
chr	NZ_CP014692.1	1084827	1085105	+	-	-	A0U92_RS04960	WP_077814257.1	92	hypothetical protein
chr	NZ_CP014692.1	1085176	1085937	-	-	-	A0U92_RS04965	WP_077812264.1	253	hypothetical protein
chr	NZ_CP014692.1	1085924	1088542	-	-	-	A0U92_RS04970	WP_077812265.1	872	mechanosensitive ion channel
chr	NZ_CP014692.1	1088632	1089240	-	-	-	A0U92_RS04975	WP_077812266.1	202	RDD family protein
chr	NZ_CP014692.1	1089244	1090479	-	-	-	A0U92_RS04980	WP_077812267.1	411	bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ
chr	NZ_CP014692.1	1090637	1091596	-	-	-	A0U92_RS04985	WP_077814258.1	319	peptidylprolyl isomerase
chr	NZ_CP014692.1	1091855	1094575	+	-	-	A0U92_RS04990	WP_077812268.1	906	preprotein translocase subunit SecA
chr	NZ_CP014692.1	1094744	1095493	+	-	-	A0U92_RS04995	WP_077812269.1	249	YebC/PmpR family DNA-binding transcriptional regulator
chr	NZ_CP014692.1	1095560	1096492	+	-	-	A0U92_RS05000	WP_077812270.1	310	glycosyltransferase family 9 protein
chr	NZ_CP014692.1	1096780	1097550	+	-	-	A0U92_RS05005	WP_077812271.1	256	DUF4422 domain-containing protein
chr	NZ_CP014692.1	1097870	1099192	+	-	-	A0U92_RS05010	WP_077812272.1	440	dihydroorotase
chr	NZ_CP014692.1	1099313	1099687	+	-	-	A0U92_RS05015	WP_077812273.1	124	hypothetical protein
chr	NZ_CP014692.1	1099906	1100136	+	-	-	A0U92_RS05020	WP_077812274.1	76	hypothetical protein
chr	NZ_CP014692.1	1100332	1101171	-	-	-	A0U92_RS05025	WP_077812275.1	279	3-deoxy-8-phosphooctulonate synthase
chr	NZ_CP014692.1	1101168	1102799	-	-	-	A0U92_RS05030	WP_077812276.1	543	CTP synthase
chr	NZ_CP014692.1	1103191	1103547	-	-	-	A0U92_RS05035	WP_077812277.1	118	preprotein translocase subunit SecG
chr	NZ_CP014692.1	1103599	1104348	-	-	-	A0U92_RS05040	WP_077812278.1	249	triose-phosphate isomerase
chr	NZ_CP014692.1	1104371	1104616	+	-	-	A0U92_RS05045	WP_077812279.1	81	hypothetical protein
chr	NZ_CP014692.1	1104621	1106564	+	-	-	A0U92_RS05050	WP_077812280.1	647	peptidylprolyl isomerase
chr	NZ_CP014692.1	1106564	1108087	+	-	-	A0U92_RS05055	WP_077812281.1	507	anthranilate synthase component I
chr	NZ_CP014692.1	1108329	1109153	-	-	-	A0U92_RS05060	WP_077812282.1	274	MOSC domain-containing protein
chr	NZ_CP014692.1	1109274	1110884	+	-	-	A0U92_RS05065	WP_077812283.1	536	inorganic phosphate transporter
chr	NZ_CP014692.1	1110890	1112353	+	-	-	A0U92_RS05070	WP_077812284.1	487	carbohydrate porin
chr	NZ_CP014692.1	1112472	1113404	+	-	-	A0U92_RS05075	WP_077812285.1	310	polyphosphate kinase 2
chr	NZ_CP014692.1	1113471	1113683	-	-	-	A0U92_RS05080	WP_077812286.1	70	hypothetical protein
chr	NZ_CP014692.1	1113709	1114389	-	-	-	A0U92_RS05085	WP_077812287.1	226	dienelactone hydrolase family protein
chr	NZ_CP014692.1	1114554	1115531	-	-	-	A0U92_RS05090	WP_077812288.1	325	transporter substrate-binding domain-containing protein
chr	NZ_CP014692.1	1115591	1116583	-	-	-	A0U92_RS05095	WP_077812289.1	330	LysR family transcriptional regulator
chr	NZ_CP014692.1	1116641	1117666	-	-	-	A0U92_RS05100	WP_077812290.1	341	isopenicillin N synthase family oxygenase
chr	NZ_CP014692.1	1117663	1118241	-	-	-	A0U92_RS05105	WP_077814259.1	192	hypothetical protein
chr	NZ_CP014692.1	1119005	1120699	-	-	-	A0U92_RS05110	WP_077812291.1	564	PAS domain S-box protein
chr	NZ_CP014692.1	1120914	1121924	-	-	-	A0U92_RS05115	WP_077812292.1	336	thiamine-phosphate kinase
chr	NZ_CP014692.1	1121908	1122513	-	-	-	A0U92_RS05120	WP_077812293.1	201	transcription antitermination factor NusB
chr	NZ_CP014692.1	1122602	1123072	-	-	-	A0U92_RS05125	WP_077812294.1	156	transcriptional repressor NrdR
chr	NZ_CP014692.1	1123336	1123926	+	-	-	A0U92_RS05130	WP_077814260.1	196	copper chaperone PCu(A)C
chr	NZ_CP014692.1	1123983	1124471	-	-	-	A0U92_RS05135	WP_077812295.1	162	hypothetical protein
chr	NZ_CP014692.1	1124585	1125781	-	-	-	A0U92_RS05140	WP_077812296.1	398	lipid-A-disaccharide synthase
chr	NZ_CP014692.1	1125806	1126327	-	-	-	A0U92_RS05145	WP_077812297.1	173	hypothetical protein
chr	NZ_CP014692.1	1126744	1127226	+	-	-	A0U92_RS05150	WP_077812298.1	160	glutathione peroxidase
chr	NZ_CP014692.1	1127723	1130326	+	-	-	A0U92_RS05155	WP_077814261.1	867	PBP1A family penicillin-binding protein
chr	NZ_CP014692.1	1130880	1131947	+	-	-	A0U92_RS05160	WP_077812299.1	355	peptide chain release factor 2
chr	NZ_CP014692.1	1132475	1133137	+	-	-	A0U92_RS05165	WP_077812300.1	220	energy transducer TonB
chr	NZ_CP014692.1	1133201	1134172	+	-	-	A0U92_RS05170	WP_077812301.1	323	MotA/TolQ/ExbB proton channel family protein
chr	NZ_CP014692.1	1134175	1134597	+	-	-	A0U92_RS05175	WP_077812302.1	140	biopolymer transporter ExbD
chr	NZ_CP014692.1	1134715	1135149	+	-	-	A0U92_RS05180	WP_077812303.1	144	biopolymer transporter ExbD
chr	NZ_CP014692.1	1135154	1136398	+	-	-	A0U92_RS05185	WP_077812304.1	414	hypothetical protein
chr	NZ_CP014692.1	1136768	1138156	+	-	-	A0U92_RS05190	WP_077812305.1	462	dipeptidase
chr	NZ_CP014692.1	1138123	1139151	+	-	-	A0U92_RS05195	WP_077812306.1	342	4-hydroxythreonine-4-phosphate dehydrogenase PdxA
chr	NZ_CP014692.1	1139148	1139879	+	-	-	A0U92_RS05200	WP_077812307.1	243	pyridoxine 5\'-phosphate synthase
chr	NZ_CP014692.1	1140304	1142427	+	-	-	A0U92_RS05205	WP_077812308.1	707	TonB-dependent receptor
chr	NZ_CP014692.1	1142554	1143036	-	-	-	A0U92_RS05210	WP_077812309.1	160	PACE efflux transporter
chr	NZ_CP014692.1	1143103	1143999	+	-	-	A0U92_RS05215	WP_077812310.1	298	LysR family transcriptional regulator
chr	NZ_CP014692.1	1144361	1145470	+	-	-	A0U92_RS05220	WP_077812311.1	369	porin
chr	NZ_CP014692.1	1145632	1145976	+	-	-	A0U92_RS05225	WP_077814262.1	114	hypothetical protein
chr	NZ_CP014692.1	1146911	1147546	-	-	-	A0U92_RS05235	WP_077812312.1	211	urease accessory protein UreG
chr	NZ_CP014692.1	1147543	1148208	-	-	-	A0U92_RS05240	WP_077812313.1	221	urease accessory protein UreF
chr	NZ_CP014692.1	1148224	1148727	-	-	-	A0U92_RS05245	WP_077812314.1	167	urease accessory protein UreE
chr	NZ_CP014692.1	1148729	1150435	-	-	-	A0U92_RS05250	WP_077812315.1	568	urease subunit alpha
chr	NZ_CP014692.1	1150435	1150776	-	-	-	A0U92_RS05255	WP_077812316.1	113	urease subunit beta
chr	NZ_CP014692.1	1150760	1151062	-	-	-	A0U92_RS05260	WP_077812317.1	100	urease subunit gamma
chr	NZ_CP014692.1	1151130	1151960	-	-	-	A0U92_RS05265	WP_077814263.1	276	urease accessory protein UreD
chr	NZ_CP014692.1	1152253	1152438	-	-	-	A0U92_RS05270	WP_077812318.1	61	hypothetical protein
chr	NZ_CP014692.1	1152635	1153096	+	-	-	A0U92_RS05275	WP_077812319.1	153	aspartyl-tRNA amidotransferase
chr	NZ_CP014692.1	1153108	1154991	+	-	-	A0U92_RS05280	WP_077812320.1	627	DNA primase
chr	NZ_CP014692.1	1155163	1157157	+	-	-	A0U92_RS05285	WP_077812321.1	664	RNA polymerase sigma factor RpoD
chr	NZ_CP014692.1	1157162	1157722	+	-	-	A0U92_RS05290	WP_077812322.1	186	GNAT family N-acetyltransferase
chr	NZ_CP014692.1	1157940	1158401	+	-	-	A0U92_RS05295	WP_077812323.1	153	30S ribosomal protein S6
chr	NZ_CP014692.1	1158408	1158683	+	-	-	A0U92_RS05300	WP_077812324.1	91	30S ribosomal protein S18
chr	NZ_CP014692.1	1158695	1159270	+	-	-	A0U92_RS05305	WP_077812325.1	191	50S ribosomal protein L9
chr	NZ_CP014692.1	1159816	1161033	+	-	-	A0U92_RS05310	WP_077812326.1	405	class I SAM-dependent methyltransferase
chr	NZ_CP014692.1	1161354	1162148	-	-	-	A0U92_RS05315	WP_077812327.1	264	bifunctional 2-polyprenyl-6-hydroxyphenol methylase/3-demethylubiquinol 3-O-methyltransferase UbiG
chr	NZ_CP014692.1	1162419	1163672	+	-	-	A0U92_RS05320	WP_077814264.1	417	aspartate kinase
chr	NZ_CP014692.1	1163697	1164779	+	-	-	A0U92_RS05325	WP_077812328.1	360	2-nitropropane dioxygenase
chr	NZ_CP014692.1	1164780	1166105	+	-	-	A0U92_RS05330	WP_077812329.1	441	helix-turn-helix domain-containing protein
chr	NZ_CP014692.1	1166284	1167444	+	-	-	A0U92_RS05335	WP_077812330.1	386	flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase
chr	NZ_CP014692.1	1167569	1168825	+	-	-	A0U92_RS05340	WP_077812331.1	418	histidine--tRNA ligase
chr	NZ_CP014692.1	1168822	1169880	+	-	-	A0U92_RS05345	WP_077812332.1	352	peptide chain release factor 1
chr	NZ_CP014692.1	1170005	1172983	+	-	-	A0U92_RS05350	WP_077812333.1	992	GGDEF domain-containing protein
chr	NZ_CP014692.1	1173268	1173696	-	-	-	A0U92_RS05355	WP_077812334.1	142	DUF4167 domain-containing protein
chr	NZ_CP014692.1	1176147	1177643	+	-	-	A0U92_RS05370	WP_077812335.1	498	carbohydrate porin
chr	NZ_CP014692.1	1177791	1178291	+	-	-	A0U92_RS05375	WP_077812336.1	166	DUF2721 domain-containing protein
chr	NZ_CP014692.1	1178415	1178885	-	-	-	A0U92_RS05380	WP_077812337.1	156	DUF3465 domain-containing protein
chr	NZ_CP014692.1	1178979	1179959	-	-	-	A0U92_RS05385	WP_077814265.1	326	N-acetylmuramoyl-L-alanine amidase
chr	NZ_CP014692.1	1180521	1183328	+	-	-	A0U92_RS05390	WP_077812338.1	935	Rne/Rng family ribonuclease
chr	NZ_CP014692.1	1183434	1185647	+	-	-	A0U92_RS05395	WP_077814266.1	737	excinuclease ABC subunit UvrB
chr	NZ_CP014692.1	1186048	1187724	-	-	-	A0U92_RS05400	WP_077812339.1	558	phosphodiesterase
chr	NZ_CP014692.1	1187875	1190001	-	-	-	A0U92_RS05405	WP_077814267.1	708	ATP-dependent DNA helicase RecG
chr	NZ_CP014692.1	1190118	1190429	+	-	-	A0U92_RS05410	WP_077812340.1	103	succinate dehydrogenase assembly factor 2
chr	NZ_CP014692.1	1191018	1191563	+	-	-	A0U92_RS05415	WP_077812341.1	181	hypothetical protein
chr	NZ_CP014692.1	1191554	1192405	+	-	-	A0U92_RS05420	WP_077812342.1	283	ankyrin repeat domain-containing protein
chr	NZ_CP014692.1	1192820	1196311	+	-	-	A0U92_RS05425	WP_077814268.1	1163	transcription-repair coupling factor
chr	NZ_CP014692.1	1196416	1198746	-	-	-	A0U92_RS05430	WP_077814269.1	776	TonB-dependent hemoglobin/transferrin/lactoferrin family receptor
chr	NZ_CP014692.1	1198939	1199259	+	-	-	A0U92_RS05435	WP_077812343.1	106	antibiotic biosynthesis monooxygenase
chr	NZ_CP014692.1	1199287	1200222	+	-	-	A0U92_RS05440	WP_077814270.1	311	hemin receptor
chr	NZ_CP014692.1	1200219	1201244	+	-	-	A0U92_RS05445	WP_077812344.1	341	iron ABC transporter permease
chr	NZ_CP014692.1	1201241	1202041	+	-	-	A0U92_RS05450	WP_077812345.1	266	ATP-binding cassette domain-containing protein
chr	NZ_CP014692.1	1202058	1202378	+	-	-	A0U92_RS05455	WP_077812346.1	106	antibiotic biosynthesis monooxygenase
chr	NZ_CP014692.1	1202705	1203508	-	-	-	A0U92_RS05460	WP_077812347.1	267	glucose 1-dehydrogenase
chr	NZ_CP014692.1	1203693	1204496	+	-	-	A0U92_RS05465	WP_077812348.1	267	carbon-nitrogen hydrolase family protein
chr	NZ_CP014692.1	1204493	1205926	+	-	-	A0U92_RS05470	WP_077812349.1	477	APC family permease
chr	NZ_CP014692.1	1205933	1206742	-	-	-	A0U92_RS05475	WP_077812350.1	269	IS5 family transposase
chr	NZ_CP014692.1	1206787	1207185	-	-	-	A0U92_RS05480	WP_077812351.1	132	IS5 family transposase
chr	NZ_CP014692.1	1207137	1207565	-	-	-	A0U92_RS05485	WP_077812352.1	142	IS5 family transposase
chr	NZ_CP014692.1	1207908	1208516	-	-	-	A0U92_RS05490	WP_077812353.1	202	polyisoprenoid-binding protein
chr	NZ_CP014692.1	1208545	1209360	-	-	-	A0U92_RS05495	WP_077814271.1	271	dioxygenase
chr	NZ_CP014692.1	1209468	1210379	+	-	-	A0U92_RS05500	WP_077812354.1	303	LysR family transcriptional regulator
chr	NZ_CP014692.1	1210593	1211471	-	-	-	A0U92_RS05505	WP_077812355.1	292	universal stress protein
chr	NZ_CP014692.1	1211735	1212181	-	-	-	A0U92_RS05510	WP_077812356.1	148	GNAT family N-acetyltransferase
chr	NZ_CP014692.1	1212210	1212848	-	-	-	A0U92_RS05515	WP_077812357.1	212	pyridoxamine 5\'-phosphate oxidase
chr	NZ_CP014692.1	1212974	1213810	+	-	-	A0U92_RS05520	WP_077814272.1	278	enoyl-ACP reductase FabI
chr	NZ_CP014692.1	1213829	1214905	+	-	-	A0U92_RS05525	WP_077812358.1	358	chorismate synthase
chr	NZ_CP014692.1	1215038	1216702	+	-	-	A0U92_RS05530	WP_077812359.1	554	FAD-dependent oxidoreductase
chr	NZ_CP014692.1	1216792	1217814	+	-	-	A0U92_RS05535	WP_077812360.1	340	zinc-binding alcohol dehydrogenase family protein
chr	NZ_CP014692.1	1217962	1218912	+	-	-	A0U92_RS05540	WP_077812361.1	316	glycosyltransferase
chr	NZ_CP014692.1	1219037	1220371	+	-	-	A0U92_RS05545	WP_077812362.1	444	DUF2142 domain-containing protein
chr	NZ_CP014692.1	1220462	1221832	+	-	-	A0U92_RS05550	WP_077812363.1	456	DUF2142 domain-containing protein
chr	NZ_CP014692.1	1221944	1223017	-	-	-	A0U92_RS05555	WP_077814273.1	357	alkene reductase
chr	NZ_CP014692.1	1224146	1225105	-	-	-	A0U92_RS05565	WP_077812364.1	319	prolyl aminopeptidase
chr	NZ_CP014692.1	1225105	1226076	-	-	-	A0U92_RS05570	WP_077812365.1	323	tyrosine recombinase XerC
chr	NZ_CP014692.1	1226137	1228377	+	-	-	A0U92_RS05575	WP_077812366.1	746	primosomal protein N\'
chr	NZ_CP014692.1	1228973	1229860	-	-	-	A0U92_RS05580	WP_077812367.1	295	response regulator
chr	NZ_CP014692.1	1229857	1233267	-	-	-	A0U92_RS05585	WP_077812368.1	1136	response regulator
chr	NZ_CP014692.1	1233363	1234688	+	-	-	A0U92_RS05590	WP_077812369.1	441	urea ABC transporter substrate-binding protein
chr	NZ_CP014692.1	1234681	1236339	+	-	-	A0U92_RS05595	WP_077812370.1	552	urea ABC transporter permease subunit UrtB
chr	NZ_CP014692.1	1236336	1237460	+	-	-	A0U92_RS05600	WP_077812371.1	374	urea ABC transporter permease subunit UrtC
chr	NZ_CP014692.1	1237457	1238197	+	-	-	A0U92_RS05605	WP_077812372.1	246	urea ABC transporter ATP-binding protein UrtD
chr	NZ_CP014692.1	1238210	1238905	+	-	-	A0U92_RS05610	WP_077812373.1	231	urea ABC transporter ATP-binding subunit UrtE
chr	NZ_CP014692.1	1239032	1239607	+	-	-	A0U92_RS05615	WP_077812374.1	191	hypothetical protein
chr	NZ_CP014692.1	1240090	1242654	-	-	-	A0U92_RS05620	WP_077812375.1	854	TonB-dependent receptor
chr	NZ_CP014692.1	1243103	1243954	+	-	-	A0U92_RS05625	WP_077812376.1	283	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ
chr	NZ_CP014692.1	1243951	1244916	+	-	-	A0U92_RS05630	WP_077812377.1	321	NAD(P)-dependent glycerol-3-phosphate dehydrogenase
chr	NZ_CP014692.1	1245065	1245451	+	-	-	A0U92_RS05635	WP_077814274.1	128	hypothetical protein
chr	NZ_CP014692.1	1245577	1246167	-	-	-	A0U92_RS05640	WP_077812378.1	196	YigZ family protein
chr	NZ_CP014692.1	1246174	1246731	-	-	-	A0U92_RS05645	WP_077812379.1	185	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
chr	NZ_CP014692.1	1246728	1247504	-	-	-	A0U92_RS05650	WP_077812380.1	258	rRNA pseudouridine synthase
chr	NZ_CP014692.1	1247498	1248253	-	-	-	A0U92_RS05655	WP_077812381.1	251	gamma-glutamyl-gamma-aminobutyrate hydrolase family protein
chr	NZ_CP014692.1	1248742	1249176	+	-	-	A0U92_RS05660	WP_077814275.1	144	nucleoside deaminase
chr	NZ_CP014692.1	1249413	1251053	+	-	-	A0U92_RS05665	WP_077814276.1	546	PDZ domain-containing protein
chr	NZ_CP014692.1	1251133	1251582	-	-	-	A0U92_RS05670	WP_077812382.1	149	hypothetical protein
chr	NZ_CP014692.1	1251584	1252318	-	-	-	A0U92_RS05675	WP_077812383.1	244	hypothetical protein
chr	NZ_CP014692.1	1253719	1254909	-	-	-	A0U92_RS05690	WP_077812384.1	396	MFS transporter
chr	NZ_CP014692.1	1255043	1255282	-	-	-	A0U92_RS05695	WP_077812385.1	79	hypothetical protein
chr	NZ_CP014692.1	1255275	1256183	-	-	-	A0U92_RS05700	WP_077814277.1	302	FAD-dependent thymidylate synthase
chr	NZ_CP014692.1	1256800	1257777	-	-	-	A0U92_RS05705	WP_077812386.1	325	AraC family transcriptional regulator
chr	NZ_CP014692.1	1257790	1257996	-	-	-	A0U92_RS05710	WP_077812387.1	68	hypothetical protein
chr	NZ_CP014692.1	1258381	1259946	+	-	-	A0U92_RS05715	WP_077812388.1	521	globin-coupled sensor protein
chr	NZ_CP014692.1	1260676	1261206	+	-	-	A0U92_RS05725	WP_077812389.1	176	hypothetical protein
chr	NZ_CP014692.1	1261249	1262940	+	-	-	A0U92_RS05730	WP_077812390.1	563	fumarate hydratase
chr	NZ_CP014692.1	1263074	1263466	+	-	-	A0U92_RS05735	WP_077812391.1	130	VOC family protein
chr	NZ_CP014692.1	1263570	1263899	-	-	-	A0U92_RS05740	WP_077814278.1	109	multidrug efflux SMR transporter
